Player;Federation;Opponent;Stage;Matchday;Match Number;Minutes Played;Game Started;Substitute;Goals;Man of the Match;Date of Birth;Boot Brand;Boot Type;Boot Colour;Boot Version;Notes;ID Opta;Opta Position;Squad Number;Match Length;Exact Time
Groß, Pascal;Germany;Scotland;Group Stage;1;1;45;0;1;0;0;1991-06-15;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;60307;Midfielder;5;98;49
Kimmich, Joshua;Germany;Scotland;Group Stage;1;1;90;1;0;0;0;1995-02-08;Nike;Mercurial Vapor XV Elite;
Pink Foam/Black";New;;165687;Defender;6;98;98
Musiala, Jamal;Germany;Scotland;Group Stage;1;1;74;1;0;1;1;2003-02-26;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;244857;Midfielder;10;98;77
Can, Emre;Germany;Scotland;Group Stage;1;1;10;0;1;1;0;1994-01-12;Nike;Mercurial Superfly IX Elite;Lemonade/Black;New;;112338;Midfielder;25;98;14
Tah, Jonathan;Germany;Scotland;Group Stage;1;1;90;1;0;0;0;1996-02-11;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;164454;Defender;4;98;98
Wirtz, Florian;Germany;Scotland;Group Stage;1;1;63;1;0;1;0;2003-05-03;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;494595;Midfielder;17;98;67
Sané, Leroy;Germany;Scotland;Group Stage;1;1;27;0;1;0;0;1996-01-11;Nike;Mercurial Vapor XV Elite;"	
Pink Foam/Black";New;;182156;Forward;19;98;32
Rüdiger, Antonio;Germany;Scotland;Group Stage;1;1;90;1;0;OG;0;1993-03-03;Under Armour;Clone Magnetico Elite 3.0;Black;New;Customised the boot;102380;Defender;2;98;98
Mittelstädt, Maximilian;Germany;Scotland;Group Stage;1;1;90;1;0;0;0;1997-03-18;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;204335;Defender;18;98;98
Neuer, Manuel;Germany;Scotland;Group Stage;1;1;90;1;0;0;0;1986-03-27;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;20388;Goalkeeper;1;98;98
Andrich, Robert;Germany;Scotland;Group Stage;1;1;45;1;0;0;0;1994-09-22;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;147488;Midfielder;23;98;49
Kroos, Toni;Germany;Scotland;Group Stage;1;1;80;1;0;0;0;1990-01-04;adidas;adiPure 11Pro;Cloud White/Core Black/Gold Metallic;New;;44989;Midfielder;8;98;84
Havertz, Kai;Germany;Scotland;Group Stage;1;1;63;1;0;1;0;1999-06-11;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;219847;Forward;7;98;66
Füllkrug, Niclas;Germany;Scotland;Group Stage;1;1;27;0;1;1;0;1993-02-09;Nike;Mercurial Vapor XV Elite;"	
Pink Foam/Black";New;;91889;Forward;9;98;32
Gündogan, Ilkay;Germany;Scotland;Group Stage;1;1;90;1;0;0;0;1990-10-24;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;59859;Midfielder;21;98;98
Müller, Thomas;Germany;Scotland;Group Stage;1;1;16;0;1;0;0;1989-09-13;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;55634;Forward;13;98;21
Gunn, Angus;Scotland;Germany;Group Stage;1;1;90;1;0;0;0;1996-01-22;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;107265;Goalkeeper;1;98;98
Adams, Ché;Scotland;Germany;Group Stage;1;1;45;1;0;0;0;1996-07-13;Nike;Mercurial Vapor XV Elite;"
Pink Foam/Black";New;;200439;Forward;10;98;49
Christie, Ryan;Scotland;Germany;Group Stage;1;1;82;1;0;0;0;1995-02-22;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;158499;Midfielder;11;98;85
McGinn, John;Scotland;Germany;Group Stage;1;1;67;1;0;0;0;1994-10-18;Nike;Phantom GX II Elite;White/Black/Metallic Gold Coin;New;;122806;Midfielder;7;98;71
Hendry, Jack;Scotland;Germany;Group Stage;1;1;90;1;0;0;0;1995-05-07;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;194203;Defender;13;98;98
McTominay, Scott;Scotland;Germany;Group Stage;1;1;90;1;0;0;0;1996-12-08;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;195851;Midfielder;4;98;98
Hanley, Grant;Scotland;Germany;Group Stage;1;1;45;0;1;0;0;1991-11-20;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;83428;Defender;5;98;49
McGregor, Callum;Scotland;Germany;Group Stage;1;1;67;1;0;0;0;1993-06-14;Nike;Tiempo Legend X Elite;White/Black/Bright Crimson;New;;107695;Midfielder;8;98;71
Robertson, Andy;Scotland;Germany;Group Stage;1;1;90;1;0;0;0;1994-03-11;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;122798;Defender;3;98;98
Gilmour, Billy;Scotland;Germany;Group Stage;1;1;23;0;1;0;0;2001-06-11;adidas;Predator Elite Tongue;"
Lucid Blue/Ftwr White/Solar Red";New;;243568;Midfielder;14;98;27
Shankland, Lawrence;Scotland;Germany;Group Stage;1;1;8;0;1;0;0;1995-08-10;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;116084;Forward;9;98;13
McLean, Kenny;Scotland;Germany;Group Stage;1;1;23;0;1;0;0;1992-01-08;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;78607;Midfielder;23;98;27
Porteous, Ryan;Scotland;Germany;Group Stage;1;1;44;1;0;0;0;1999-03-25;adidas;Copa Sence+;White/Black/Gold;New;Laceless;229911;Defender;15;98;-1
Ralston, Anthony;Scotland;Germany;Group Stage;1;1;90;1;0;0;0;1998-11-16;adidas;X Crazyfast.1;Team Solar Yellow/Core Black/White;New;;215372;Defender;2;98;98
McKenna, Scott;Scotland;Germany;Group Stage;1;1;13;0;1;0;0;1996-11-12;adidas;Predator Elite;Team Solar Yellow/Core Black/Solar Red;New;;168281;Defender;26;98;17
Tierney, Kieran;Scotland;Germany;Group Stage;1;1;77;1;0;0;0;1997-06-05;adidas;X Crazyfast.1;Solar Red/White/Team Solar Yellow;New;;192895;Defender;6;98;81
Lang, Ádám;Hungary;Switzerland;Group Stage;1;2;45;1;0;0;0;1993-01-17;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;Shoe lace removed;121111;Defender;2;100;48
Bolla, Bendegúz;Hungary;Switzerland;Group Stage;1;2;45;0;1;0;0;1999-11-22;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;431960;Defender;14;100;52
Ádám Nagy;Hungary;Switzerland;Group Stage;1;2;67;1;0;0;0;1995-06-17;Mizuno;Morelia Neo IV;White/Radiant Red/Hot Coral;New;;199104;Midfielder;8;100;69
Kerkez, Milos;Hungary;Switzerland;Group Stage;1;2;79;1;0;0;0;2003-11-07;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;544877;Midfielder;11;100;81
Schäfer, András;Hungary;Switzerland;Group Stage;1;2;90;1;0;0;0;1999-04-13;adidas;X Crazyfast+;Team Solar Yellow/Core Black/White;New;;457734;Midfielder;13;100;100
Dárdai, Márton;Hungary;Switzerland;Group Stage;1;2;11;0;1;0;0;2002-02-12;Nike;Mercurial Superfly IX Elite;Lemonade/Black;New;;470300;Defender;24;100;18
Sallai, Roland;Hungary;Switzerland;Group Stage;1;2;90;1;0;0;0;1997-05-22;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;197109;Forward;20;100;100
Szalai, Attila;Hungary;Switzerland;Group Stage;1;2;79;1;0;0;0;1998-01-20;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;227096;Defender;4;100;82
Fiola, Attila;Hungary;Switzerland;Group Stage;1;2;90;1;0;0;0;1990-02-17;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;80900;Midfielder;5;100;100
Orbán, Willi;Hungary;Switzerland;Group Stage;1;2;90;1;0;0;0;1992-11-03;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;101601;Defender;6;100;100
Gulácsi, Péter;Hungary;Switzerland;Group Stage;1;2;90;1;0;0;0;1990-05-06;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;46506;Goalkeeper;1;100;100
Varga, Barnabás;Hungary;Switzerland;Group Stage;1;2;90;1;0;1;0;1994-10-25;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;240804;Forward;19;100;100
Kleinheisler, László;Hungary;Switzerland;Group Stage;1;2;23;0;1;0;0;1994-04-08;Nike;Mercurial Vapor XI;Black/White/Electric Green;Old;;167764;Midfielder;15;100;31
Szoboszlai, Dominik;Hungary;Switzerland;Group Stage;1;2;90;1;0;0;0;2000-10-25;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;424876;Forward;10;100;100
Ádám, Martin;Hungary;Switzerland;Group Stage;1;2;11;0;1;0;0;1994-11-06;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;218722;Forward;9;100;19
Freuler, Remo;Switzerland;Hungary;Group Stage;1;2;86;1;0;0;0;1992-04-15;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;89076;Midfielder;8;100;88
Aebischer, Michel;Switzerland;Hungary;Group Stage;1;2;90;1;0;1;0;1997-01-06;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;235865;Midfielder;20;100;100
Rieder, Fabian;Switzerland;Hungary;Group Stage;1;2;4;0;1;0;0;2002-02-16;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;449787;Midfielder;26;100;12
Embolo, Breel;Switzerland;Hungary;Group Stage;1;2;16;0;1;1;0;1997-02-14;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;181007;Forward;7;100;24
Ndoye, Dan;Switzerland;Hungary;Group Stage;1;2;86;1;0;0;0;2000-10-25;Nike;Mercurial Vapor XII;White/Gold Metallic;New;;456512;Forward;19;100;88
Vargas, Rubén;Switzerland;Hungary;Group Stage;1;2;74;1;0;0;0;1998-08-05;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;429534;Forward;17;100;76
Amdouni, Zeki;Switzerland;Hungary;Group Stage;1;2;22;0;1;0;0;2000-12-04;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;492831;Forward;25;100;30
Xhaka, Granit;Switzerland;Hungary;Group Stage;1;2;90;1;0;0;1;1992-09-27;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;84450;Midfielder;10;100;100
Sierro, Vincent;Switzerland;Hungary;Group Stage;1;2;4;0;1;0;0;1995-10-08;adidas;Nemeziz .1;White/Screaming Orange/Core Black;New;;209208;Midfielder;16;100;12
Schär, Fabian;Switzerland;Hungary;Group Stage;1;2;90;1;0;0;0;1991-12-20;Puma;Ultra Play;Sun Stream/Puma Black/Sunset Glow;New;;119471;Defender;22;100;100
Duah, Kwadwo;Switzerland;Hungary;Group Stage;1;2;68;1;0;1;0;1997-02-24;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;207553;Forward;18;100;70
Stergiou, Leonidas;Switzerland;Hungary;Group Stage;1;2;22;0;1;0;0;2002-03-03;Puma;Ultra Play;Sun Stream/Puma Black/Sunset Glow;New;;476824;Defender;2;100;30
Rodríguez, Ricardo;Switzerland;Hungary;Group Stage;1;2;90;1;0;0;0;1992-08-25;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;69305;Defender;13;100;100
Widmer, Silvan;Switzerland;Hungary;Group Stage;1;2;68;1;0;0;0;1993-03-05;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;120781;Midfielder;3;100;70
Sommer, Yann;Switzerland;Hungary;Group Stage;1;2;90;1;0;0;0;1988-12-17;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;34683;Goalkeeper;1;100;100
Akanji, Manuel;Switzerland;Hungary;Group Stage;1;2;90;1;0;0;0;1995-07-19;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;211975;Defender;5;100;100
Olmo, Dani;Spain;Croatia;Group Stage;1;3;31;0;1;0;0;1998-05-07;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;179370;Forward;10;99;37
Le Normand, Robin;Spain;Croatia;Group Stage;1;3;90;1;0;0;0;1996-11-11;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;224919;Defender;3;99;99
Nacho;Spain;Croatia;Group Stage;1;3;90;1;0;0;0;1990-01-18;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;88477;Defender;4;99;99
Yamal, Lamine;Spain;Croatia;Group Stage;1;3;86;1;0;0;0;2007-07-13;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;593109;Forward;19;99;89
Pedri;Spain;Croatia;Group Stage;1;3;59;1;0;0;0;2002-11-25;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;490541;Midfielder;20;99;62
Torres, Ferran;Spain;Croatia;Group Stage;1;3;4;0;1;0;0;2000-02-29;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;224444;Forward;11;99;10
Williams, Nico;Spain;Croatia;Group Stage;1;3;68;1;0;0;0;2002-07-12;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;523654;Forward;17;99;71
Cucurella, Marc;Spain;Croatia;Group Stage;1;3;90;1;0;0;0;1998-07-22;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;179268;Defender;24;99;99
Oyarzabal, Mikel;Spain;Croatia;Group Stage;1;3;23;0;1;0;0;1997-04-21;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;219000;Forward;21;99;29
Carvajal, Dani;Spain;Croatia;Group Stage;1;3;90;1;0;1;0;1992-01-11;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;88483;Defender;2;99;99
Simón, Unai;Spain;Croatia;Group Stage;1;3;90;1;0;0;0;1997-06-11;adidas;Copa Pure 2+;Ftwr White/Lucid Blue/Solar Red;New;;212769;Goalkeeper;23;99;99
